Date	MSFT	VTI
2016-06-01	52.849998	107.629997
2016-06-02	52.48	107.989998
2016-06-03	51.790001000000004	107.690002
2016-06-06	52.130001	108.25
2016-06-07	52.099998	108.459999
2016-06-08	52.040001000000004	108.839996
2016-06-09	51.619999	108.620003
2016-06-10	51.48	107.5
2016-06-13	50.139998999999996	106.610001
2016-06-14	49.830002	105.949997
2016-06-15	49.689999	105.839996
2016-06-16	50.389998999999996	106.150002
2016-06-17	50.130001	105.800003
2016-06-20	50.07	106.519997
2016-06-21	51.189999	106.75
2016-06-22	50.990002000000004	106.510002
2016-06-23	51.91	107.980003
2016-06-24	49.830002	104.050003
2016-06-27	48.43	101.980003
2016-06-28	49.439999	103.849998
2016-06-29	50.540001000000004	105.709999
2016-06-30	51.169998	107.160004
2016-07-01	51.16	107.370003
2016-07-05	51.169998	106.57
2016-07-06	51.380001	107.220001
2016-07-07	51.380001	107.16999799999999
2016-07-08	52.299999	108.839996
2016-07-11	52.59	109.290001
2016-07-12	53.209998999999996	110.199997
2016-07-13	53.509997999999996	110.139999
2016-07-14	53.740002000000004	110.66999799999999
2016-07-15	53.700001	110.550003
2016-07-18	53.959998999999996	110.860001
2016-07-19	53.09	110.639999
2016-07-20	55.91	111.230003
2016-07-21	55.799999	110.790001
2016-07-22	56.57	111.32
2016-07-25	56.73	111.029999
2016-07-26	56.759997999999996	111.150002
2016-07-27	56.189999	111.019997
2016-07-28	56.209998999999996	111.160004
2016-07-29	56.68	111.41999799999999
2016-08-01	56.580002	111.269997
2016-08-02	56.580002	110.43
2016-08-03	56.970001	110.839996
2016-08-04	57.389998999999996	110.970001
2016-08-05	57.959998999999996	111.889999
2016-08-08	58.060001	111.82
2016-08-09	58.200001	111.91999799999999
2016-08-10	58.02	111.589996
2016-08-11	58.299999	112.150002
2016-08-12	57.939999	112.040001
2016-08-15	58.119999	112.449997
2016-08-16	57.439999	111.809998
2016-08-17	57.560001	111.949997
2016-08-18	57.599998	112.300003
2016-08-19	57.619999	112.139999
2016-08-22	57.669998	112.16999799999999
2016-08-23	57.889998999999996	112.470001
2016-08-24	57.950001	111.839996
2016-08-25	58.169998	111.769997
2016-08-26	58.029999	111.540001
